Sample,Magnification,Compound Compositions,Indent Composition,Hardness,Hv,Modulus,Stiffness^2 / Load,Pmax,Hmax,Reporting Depth
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuAlTi : 0.73%|Unassigned : 10.69%|CuTiAlCr : 51.56%|CuTiAl : 37.02%,4.91,464.1,130.19,4194.2,487.959,2048,466.6
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 57.73%|CuTiAlCr : 28.05%|CuAlTi : 11.69%|Unassigned : 2.52%,5.679,536.8,146.81,4483.7,464.202,2047,432.7
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 36.24%|Unassigned : 3.16%|CuTiAlCr : 59.86%|CuAlTi : 0.74%,7.621,720.3,149.92,3466.1,525.743,2060,371.1
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,Unassigned : 9.18%|CuTiAlCr : 30.81%|CuAlTi : 35.75%|CuTiAl : 24.25%,5.595,528.9,147.17,4570.5,451.421,2046,435.7
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 51.92%|CuAlTi : 7.09%|CuTiAlCr : 39.06%|Unassigned : 1.93%,5.409,511.3,147.43,4742.4,497.274,2051,443.7
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 46.22%|CuTiAlCr : 16.83%|CuAlTi : 24.53%|Unassigned : 12.42%,5.484,518.3,151.52,4907.3,468.389,2048,440.5
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 20.40%|CuAlTi : 10.75%|Unassigned : 18.21%|CuTiAlCr : 50.64%,6.787,641.5,148.26,3817.3,482.163,2048,394.3
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 23.82%|CuTiAl : 36.14%|Unassigned : 15.44%|CuAlTi : 24.59%,8.004,756.6,163.26,3827.7,523.414,2053,361.9
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 43.25%|CuTiAl : 44.56%|Unassigned : 12.19%,5.562,525.7,132.83,3837.1,459.326,2046,437.4
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 40.38%|Unassigned : 18.03%|CuTiAlCr : 41.60%,5.558,525.4,145.07,4486.8,459.497,2048,437.6
